Section Number,Chapter Number,Chapter Name,Section Title,Section Description
187,10,"OF OFFENCES RELATING TO COIN, CURRENCY-NOTES, BANK-NOTES, AND GOVERNMENT STAMPS",Person employed in mint causing coin to be of different weight or composition from that fixed by law.,"Whoever, being employed in any mint lawfully established in India, does any act, or omits what he is legally bound to do, with the intention of causing any coin issued from that mint to be of a different weight or composition from the weight or composition fixed by law, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine."
188,10,"OF OFFENCES RELATING TO COIN, CURRENCY-NOTES, BANK-NOTES, AND GOVERNMENT STAMPS",Unlawfully taking coining instrument from mint.,"Whoever, without lawful authority, takes out of any mint, lawfully established in India, any coining tool or instrument, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine."
189,11,OF OFFENCES AGAINST THE PUBLIC TRANQUILLITY,Unlawful assembly.,"(1) An assembly of five or more persons is designated an “unlawful assembly”, if
the common object of the persons composing that assembly is—
(a) to overawe by criminal force, or show of criminal force, the Central Government
or any State Government or Parliament or the Legislature of any State, or any public
servant in the exercise of the lawful power of such public servant; or
(b) to resist the execution of any law, or of any legal process; or
(c) to commit any mischief or criminal trespass, or other offence; or
(d) by means of criminal force, or show of criminal force, to any person, to take or
obtain possession of any property, or to deprive any person of the enjoyment of a
right of way, or of the use of water or other incorporeal right of which he is in possession
or enjoyment, or to enforce any right or supposed right; or
(e) by means of criminal force, or show of criminal force, to compel any person to
do what he is not legally bound to do, or to omit to do what he is legally entitled to do.
(2) Whoever, being aware of facts which render any assembly an unlawful assembly,
intentionally joins that assembly, or continues in it, is said to be a member of an unlawful
assembly and such member shall be punished with imprisonment of either description for a
term which may extend to six months, or with fine, or with both.
(3) Whoever joins or continues in an unlawful assembly, knowing that such unlawful
assembly has been commanded in the manner prescribed by law to disperse, shall be punished
with imprisonment of either description for a term which may extend to two years, or with
fine, or with both.
(4) Whoever, being armed with any deadly weapon, or with anything which, used as a
weapon of offence, is likely to cause death, is a member of an unlawful assembly, shall be
punished with imprisonment of either description for a term which may extend to two years,
or with fine, or with both.
(5) Whoever knowingly joins or continues in any assembly of five or more persons
likely to cause a disturbance of the public peace, after such assembly has been lawfully
commanded to disperse, shall be punished with imprisonment of either description for a term
which may extend to six months, or with fine, or with both.
(6) Whoever hires or engages, or employs, or promotes, or connives at the hiring,
engagement or employment of any person to join or become a member of any unlawful
assembly, shall be punishable as a member of such unlawful assembly, and for any offence
which may be committed by any such person as a member of such unlawful assembly in
pursuance of such hiring, engagement or employment, in the same manner as if he had been
a member of such unlawful assembly, or himself had committed such offence.
(7) Whoever harbours, receives or assembles, in any house or premises in his
occupation or charge, or under his control any persons knowing that such persons have
been hired, engaged or employed, or are about to be hired, engaged or employed, to join or
become members of an unlawful assembly, shall be punished with imprisonment of either
description for a term which may extend to six months, or with fine, or with both.
(8) Whoever is engaged, or hired, or offers or attempts to be hired or engaged, to do or
assist in doing any of the acts specified in sub-section (1), shall be punished with imprisonment
of either description for a term which may extend to six months, or with fine, or with both.
(9) Whoever, being so engaged or hired as referred to in sub-section (8), goes armed,
or engages or offers to go armed, with any deadly weapon or with anything which used as a
weapon of offence is likely to cause death, shall be punished with imprisonment of either
description for a term which may extend to two years, or with fine, or with both."
190,11,OF OFFENCES AGAINST THE PUBLIC TRANQUILLITY,Every member of unlawful assembly guilty of offence committed in prosecution of common object.,"If an offence is committed by any member of an unlawful assembly in prosecution of the common object of that assembly, or such as the members of that assembly knew to be likely to be committed in prosecution of that object, every person who, at the time of the committing of that offence, is a member of the same assembly, is guilty of that offence."
191,11,OF OFFENCES AGAINST THE PUBLIC TRANQUILLITY,Rioting,"(1) Whenever force or violence is used by an unlawful assembly, or by any
member thereof, in prosecution of the common object of such assembly, every member of
such assembly is guilty of the offence of rioting.
(2) Whoever is guilty of rioting, shall be punished with imprisonment of either
description for a term which may extend to two years, or with fine, or with both.
(3) Whoever is guilty of rioting, being armed with a deadly weapon or with anything
which, used as a weapon of offence, is likely to cause death, shall be punished with
imprisonment of either description for a term which may extend to five years, or with fine, or
with both."
192,11,OF OFFENCES AGAINST THE PUBLIC TRANQUILLITY,Wantonly giving provocation with intent to cause riot-if rioting be committed; if n ot committed.,"Whoever malignantly, or wantonly by doing anything which is illegal, gives provocation to any person intending or knowing it to be likely that such provocation will cause the offence of rioting to be committed, shall, if the offence of rioting be committed in consequence of such provocation, be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both; and if the offence of rioting be not committed, with imprisonment of either description for a term which may extend to six months, or with fine, or with both."
193,11,OF OFFENCES AGAINST THE PUBLIC TRANQUILLITY,"Liability of owner, occupier, etc., of land on which an unlawful assembly or riot takes place.","(1) Whenever any unlawful assembly or riot takes place, the owner or occupier of
the land upon which such unlawful assembly is held, or such riot is committed, and any
person having or claiming an interest in such land, shall be punishable with fine not exceeding
one thousand rupees, if he or his agent or manager, knowing that such offence is being or
has been committed, or having reason to believe it is likely to be committed, do not give
the earliest notice thereof in his or their power to the officer in charge at the nearest
police station, and do not, in the case of his or their having reason to believe that it was about
to be committed, use all lawful means in his or their power to prevent it and, in the event of its
taking place, do not use all lawful means in his or their power to disperse or suppress the riot
or unlawful assembly.
(2) Whenever a riot is committed for the benefit or on behalf of any person who is the
owner or occupier of any land respecting which such riot takes place or who claims any
interest in such land, or in the subject of any dispute which gave rise to the riot, or who has
accepted or derived any benefit therefrom, such person shall be punishable with fine, if he or
his agent or manager, having reason to believe that such riot was likely to be committed or
that the unlawful assembly by which such riot was committed was likely to be held, shall not
respectively use all lawful means in his or their power to prevent such assembly or riot from
taking place, and for suppressing and dispersing the same.
(3) Whenever a riot is committed for the benefit or on behalf of any person who is the
owner or occupier of any land respecting which such riot takes place, or who claims any
interest in such land, or in the subject of any dispute which gave rise to the riot, or who has
accepted or derived any benefit therefrom, the agent or manager of such person shall be
punishable with fine, if such agent or manager, having reason to believe that such riot was
likely to be committed, or that the unlawful assembly by which such riot was committed was
likely to be held, shall not use all lawful means in his power to prevent such riot or assembly
from taking place and for suppressing and dispersing the same."
194,11,OF OFFENCES AGAINST THE PUBLIC TRANQUILLITY,Affray,"(1) When two or more persons, by fighting in a public place, disturb the public
peace, they are said to commit an affray.
(2)Whoever commits an affray, shall be punished with imprisonment of either description
for a term which may extend to one month, or with fine which may extend to one thousand
rupees, or with both."
195,11,OF OFFENCES AGAINST THE PUBLIC TRANQUILLITY,"Assaulting or obstructing public servant when suppressing riot, etc.","(1) Whoever assaults or obstructs any public servant or uses criminal force on
any public servant in the discharge of his duty as such public servant in endeavouring to
disperse an unlawful assembly, or to suppress a riot or affray, shall be punished with
imprisonment of either description for a term which may extend to three years, or with fine
which shall not be less than twenty-five thousand rupees, or with both.
(2) Whoever threatens to assault or attempts to obstruct any public servant or threatens
or attempts to use criminal force to any public servant in the discharge of his duty as such
public servant in endeavouring to disperse an unlawful assembly, or to suppress a riot or
affray, shall be punished with imprisonment of either description for a term which may extend
to one year, or with fine, or with both."
196,11,OF OFFENCES AGAINST THE PUBLIC TRANQUILLITY,"Promoting enmity between different groups on grounds of religion, race, place of birth, residence, language, etc., and doing acts prejudicial to maintenance of harmony.","(1) Whoever—
(a) by words, either spoken or written, or by signs or by visible representations
or through electronic communication or otherwise, promotes or attempts to promote,
on grounds of religion, race, place of birth, residence, language, caste or community or
any other ground whatsoever, disharmony or feelings of enmity, hatred or ill-will
between different religious, racial, language or regional groups or castes or
communities; or
(b) commits any act which is prejudicial to the maintenance of harmony between
different religious, racial, language or regional groups or castes or communities, and
which disturbs or is likely to disturb the public tranquillity; or
(c) organises any exercise, movement, drill or other similar activity intending that
the participants in such activity shall use or be trained to use criminal force or violence
or knowing it to be likely that the participants in such activity will use or be trained to
use criminal force or violence, or participates in such activity intending to use or be
trained to use criminal force or violence or knowing it to be likely that the participants
in such activity will use or be trained to use criminal force or violence, against any
religious, racial, language or regional group or caste or community and such activity
for any reason whatsoever causes or is likely to cause fear or alarm or a feeling of
insecurity amongst members of such religious, racial, language or regional group or
caste or community,
shall be punished with imprisonment which may extend to three years, or with fine, or with
both.
(2) Whoever commits an offence specified in sub-section (1) in any place of worship
or in any assembly engaged in the performance of religious worship or religious ceremonies,
shall be punished with imprisonment which may extend to five years and shall also be liable
to fine."
197,11,OF OFFENCES AGAINST THE PUBLIC TRANQUILLITY,"Imputations, assertions prejudicial to national integration.","(1) Whoever, by words either spoken or written or by signs or by visible
representations or through electronic communication or otherwise,—
(a) makes or publishes any imputation that any class of persons cannot, by
reason of their being members of any religious, racial, language or regional group or
caste or community, bear true faith and allegiance to the Constitution of India as by law
established or uphold the sovereignty and integrity of India; or
(b) asserts, counsels, advises, propagates or publishes that any class of persons
shall, by reason of their being members of any religious, racial, language or regional
group or caste or community, be denied, or deprived of their rights as citizens of India; or
(c) makes or publishes any assertion, counsel, plea or appeal concerning the
obligation of any class of persons, by reason of their being members of any religious,
racial, language or regional group or caste or community, and such assertion, counsel,
plea or appeal causes or is likely to cause disharmony or feelings of enmity or hatred or
ill-will between such members and other persons; or
(d) makes or publishes false or misleading information, jeopardising the
sovereignty, unity and integrity or security of India,
shall be punished with imprisonment which may extend to three years, or with fine, or with
both.
(2) Whoever commits an offence specified in sub-section (1) in any place of worship
or in any assembly engaged in the performance of religious worship or religious ceremonies,
shall be punished with imprisonment which may extend to five years and shall also be liable
to fine."
198,12,OF OFFENCES BY OR RELATING TO PUBLIC SERVANTS,"Public servant disobeying law, with intent to cause injury to any person.","Whoever, being a public servant, knowingly disobeys any direction of the law as to the way in which he is to conduct himself as such public servant, intending to cause, or knowing it to be likely that he will by such disobedience, cause injury to any person, shall be punished with simple imprisonment for a term which may extend to one year, or with fine, or with both."
199,12,OF OFFENCES BY OR RELATING TO PUBLIC SERVANTS,Public servant disobeying direction under law.,"Whoever, being a public servant,—
(a) knowingly disobeys any direction of the law which prohibits him from requiring
the attendance at any place of any person for the purpose of investigation into an
offence or any other matter; or
(b) knowingly disobeys, to the prejudice of any person, any other direction of
the law regulating the manner in which he shall conduct such investigation; or
(c) fails to record any information given to him under sub-section (1) of
section 173 of the Bharatiya Nagarik Suraksha Sanhita, 2023 in relation to cognizable
offence punishable under section 64, section 65, section 66, section 67, section 68,
section 70, section 71, section 74, section 76, section 77, section 79, section 124,
section 143 or section 144,
shall be punished with rigorous imprisonment for a term which shall not be less than six
months but which may extend to two years, and shall also be liable to fine."
200,12,OF OFFENCES BY OR RELATING TO PUBLIC SERVANTS,Punishment for nontreatment of victim.,"Whoever, being in charge of a hospital, public or private, whether run by the Central Government, the State Government, local bodies or any other person, contravenes the provisions of section 397 of the Bharatiya Nagarik Suraksha Sanhita, 2023, shall be punished with imprisonment for a term which may extend to one year, or with fine, or with both."
201,12,OF OFFENCES BY OR RELATING TO PUBLIC SERVANTS,Public servant framing an incorrect document with intent to cause injury.,"Whoever, being a public servant, and being, as such public servant, charged with the preparation or translation of any document or electronic record, frames, prepares or translates that document or electronic record in a manner which he knows or believes to be incorrect, intending thereby to cause or knowing it to be likely that he may thereby cause injury to any person, shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both."
202,12,OF OFFENCES BY OR RELATING TO PUBLIC SERVANTS,Public servant unlawfully engaging in trade.,"Whoever, being a public servant, and being legally bound as such public servant not to engage in trade, engages in trade, shall be punished with simple imprisonment for a term which may extend to one year, or with fine, or with both or with community service."
203,12,OF OFFENCES BY OR RELATING TO PUBLIC SERVANTS,Public servant unlawfully buying or bidding for property.,"Whoever, being a public servant, and being legally bound as such public servant, not to purchase or bid for certain property, purchases or bids for that property, either in his own name or in the name of another, or jointly, or in shares with others, shall be punished with simple imprisonment for a term which may extend to two years, or with fine, or with both; and the property, if purchased, shall be confiscated."
204,12,OF OFFENCES BY OR RELATING TO PUBLIC SERVANTS,Personating a public servant.,"Whoever pretends to hold any particular office as a public servant, knowing that he does not hold such office or falsely personates any other person holding such office, and in such assumed character does or attempts to do any act under colour of such office, shall be punished with imprisonment of either description for a term which shall not be less than six months but which may extend to three years and with fine"
205,12,OF OFFENCES BY OR RELATING TO PUBLIC SERVANTS,Wearing garb or carrying token used by public servant with fraudulent intent.,"Whoever, not belonging to a certain class of public servants, wears any garb or
carries any token resembling any garb or token used by that class of public servants, with
the intention that it may be believed, or with the knowledge that it is likely to be believed, that
he belongs to that class of public servants, shall be punished with imprisonment of either
description for a term which may extend to three months, or with fine which may extend to
five thousand rupees, or with both."
206,13,OF CONTEMPTS OF THE LAWFUL AUTHORITY OF PUBLIC SERVANTS,Absconding to avoid service of summons or other proceeding,"Whoever absconds in order to avoid being served with a summons, notice or order proceeding from any public servant legally competent, as such public servant, to issue such summons, notice or order,–– (a) shall be punished with simple imprisonment for a term which may extend to one month, or with fine which may extend to five thousand rupees, or with both; (b) where such summons or notice or order is to attend in person or by agent, or to produce a document or an electronic record in a Court shall be punished with simple imprisonment for a term which may extend to six months, or with fine which may extend to ten thousand rupees, or with both."
207,13,OF CONTEMPTS OF THE LAWFUL AUTHORITY OF PUBLIC SERVANTS,"Preventing service of summons or other proceeding, or preventing publication thereof.","Whoever in any manner intentionally prevents the serving on himself, or on any other person, of any summons, notice or order proceeding from any public servant legally competent, as such public servant, to issue such summons, notice or order, or intentionally prevents the lawful affixing to any place of any such summons, notice or order or intentionally removes any such summons, notice or order from any place to which it is lawfully affixed or intentionally prevents the lawful making of any proclamation, under the authority of any public servant legally competent, as such public servant, to direct such proclamation to be made,–– (a) shall be punished with simple imprisonment for a term which may extend to one month, or with fine which may extend to five thousand rupees, or with both; (b) where the summons, notice, order or proclamation is to attend in person or by agent, or to produce a document or electronic record in a Court, with simple imprisonment for a term which may extend to six months, or with fine which may extend to ten thousand rupees, or with both."
208,13,OF CONTEMPTS OF THE LAWFUL AUTHORITY OF PUBLIC SERVANTS,Nonattendance in obedience to an order from public servant,"Whoever, being legally bound to attend in person or by an agent at a certain place
and time in obedience to a summons, notice, order, or proclamation proceeding from any
public servant legally competent, as such public servant, to issue the same, intentionally
omits to attend at that place or time or departs from the place where he is bound to attend
before the time at which it is lawful for him to depart,––
(a) shall be punished with simple imprisonment for a term which may extend to
one month, or with fine which may extend to five thousand rupees, or with both;
(b) where the summons, notice, order or proclamation is to attend in person or by
agent in a Court with simple imprisonment for a term which may extend to six months,
or with fine which may extend to ten thousand rupees, or with both."
209,13,OF CONTEMPTS OF THE LAWFUL AUTHORITY OF PUBLIC SERVANTS,"Nonappearance in response to a proclamation under section 84 of Bharatiya Nagarik Suraksha Sanhita, 2023.","Whoever fails to appear at the specified place and the specified time as required by a proclamation published under sub-section (1) of section 84 of the Bharatiya Nagarik Suraksha Sanhita, 2023, shall be punished with imprisonment for a term which may extend to three years, or with fine, or with both, or with community service, and where a declaration has been made under sub-section (4) of that section pronouncing him as a proclaimed offender, he shall be punished with imprisonment for a term which may extend to seven years and shall also be liable to fine."
210,13,OF CONTEMPTS OF THE LAWFUL AUTHORITY OF PUBLIC SERVANTS,Omission to produce document or electronic record to public servant by person legally bound to produce it.,"Whoever, being legally bound to produce or deliver up any document or electronic
record to any public servant, as such, intentionally omits so to produce or deliver up the
same,––
(a) shall be punished with simple imprisonment for a term which may extend to
one month, or with fine which may extend to five thousand rupees, or with both;
(b) and where the document or electronic record is to be produced or delivered
up to a Court with simple imprisonment for a term which may extend to six months, or
with fine which may extend to ten thousand rupees, or with both."
211,13,OF CONTEMPTS OF THE LAWFUL AUTHORITY OF PUBLIC SERVANTS,Omission to give notice or information to public servant by person legally bound to give it.,"Whoever, being legally bound to give any notice or to furnish information on any
subject to any public servant, as such, intentionally omits to give such notice or to furnish
such information in the manner and at the time required by law,––
(a) shall be punished with simple imprisonment for a term which may extend to
one month, or with fine which may extend to five thousand rupees, or with both;
(b) where the notice or information required to be given respects the commission
of an offence, or is required for the purpose of preventing the commission of an
offence, or in order to the apprehension of an offender, with simple imprisonment for a
term which may extend to six months, or with fine which may extend to ten thousand
rupees, or with both;
(c) where the notice or information required to be given is required by an order
passed under section 394 of the Bharatiya Nagarik Suraksha Sanhita, 2023 with
imprisonment of either description for a term which may extend to six months, or with
fine which may extend to one thousand rupees, or with both."
212,13,OF CONTEMPTS OF THE LAWFUL AUTHORITY OF PUBLIC SERVANTS,Furnishing false information.,"Whoever, being legally bound to furnish information on any subject to any public servant, as such, furnishes, as true, information on the subject which he knows or has reason to believe to be false,–– (a) shall be punished with simple imprisonment for a term which may extend to six months, or with fine which may extend to five thousand rupees, or with both; (b) where the information which he is legally bound to give respects the commission of an offence, or is required for the purpose of preventing the commission of an offence, or in order to the apprehension of an offender, with imprisonment of either description for a term which may extend to two years, or with fine, or with both."
213,13,OF CONTEMPTS OF THE LAWFUL AUTHORITY OF PUBLIC SERVANTS,Refusing oath or affirmation when duly required by public servant to make it.,"Whoever refuses to bind himself by an oath or affirmation to state the truth, when required so to bind himself by a public servant legally competent to require that he shall so bind himself, shall be punished with simple imprisonment for a term which may extend to six months, or with fine which may extend to five thousand rupees, or with both"
214,13,OF CONTEMPTS OF THE LAWFUL AUTHORITY OF PUBLIC SERVANTS,Refusing to answer public servant authorised to question.,"Whoever, being legally bound to state the truth on any subject to any public servant, refuses to answer any question demanded of him touching that subject by such public servant in the exercise of the legal powers of such public servant, shall be punished with simple imprisonment for a term which may extend to six months, or with fine which may extend to five thousand rupees, or with both."
215,13,OF CONTEMPTS OF THE LAWFUL AUTHORITY OF PUBLIC SERVANTS,Refusing to sign statement,"Whoever refuses to sign any statement made by him, when required to sign that statement by a public servant legally competent to require that he shall sign that statement, shall be punished with simple imprisonment for a term which may extend to three months, or with fine which may extend to three thousand rupees, or with both."
216,13,OF CONTEMPTS OF THE LAWFUL AUTHORITY OF PUBLIC SERVANTS,False statement on oath or affirmation to public servant or person authorised to administer an oath or affirmation.,"Whoever, being legally bound by an oath or affirmation to state the truth on
any subject to any public servant or other person authorised by law to administer such
oath or affirmation, makes, to such public servant or other person as aforesaid, touching
that subject, any statement which is false, and which he either knows or believes to be
false or does not believe to be true, shall be punished with imprisonment of either
description for a term which may extend to three years, and shall also be liable to fine."
217,13,OF CONTEMPTS OF THE LAWFUL AUTHORITY OF PUBLIC SERVANTS,"False information, with intent to cause public servant to use his lawful power to injury of another person.","Whoever gives to any public servant any information which he knows or
believes to be false, intending thereby to cause, or knowing it to be likely that he will
thereby cause, such public servant—
(a) to do or omit anything which such public servant ought not to do or omit
if the true state of facts respecting which such information is given were known by
him; or
(b) to use the lawful power of such public servant to the injury or annoyance
of any person,
shall be punished with imprisonment of either description for a term which may extend to
one year, or with fine which may extend to ten thousand rupees, or with both."
218,13,OF CONTEMPTS OF THE LAWFUL AUTHORITY OF PUBLIC SERVANTS,Resistance to taking of property by lawful authority of a public servant.,"Whoever offers any resistance to the taking of any property by the lawful authority of any public servant, knowing or having reason to believe that he is such public servant, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to ten thousand rupees, or with both."
219,13,OF CONTEMPTS OF THE LAWFUL AUTHORITY OF PUBLIC SERVANTS,Obstructing sale of property offered for sale by authority of public servant.,"Whoever intentionally obstructs any sale of property offered for sale by the lawful authority of any public servant, as such, shall be punished with imprisonment of either description for a term which may extend to one month, or with fine which may extend to five thousand rupees, or with both."
220,13,OF CONTEMPTS OF THE LAWFUL AUTHORITY OF PUBLIC SERVANTS,Illegal purchase or bid for property offered for sale by authority of public servant.,"Whoever, at any sale of property held by the lawful authority of a public
servant, as such, purchases or bids for any property on account of any person, whether
himself or any other, whom he knows to be under a legal incapacity to purchase that
property at that sale, or bids for such property not intending to perform the obligations
under which he lays himself by such bidding, shall be punished with imprisonment of
either description for a term which may extend to one month, or with fine which may
extend to two hundred rupees, or with both."
221,13,OF CONTEMPTS OF THE LAWFUL AUTHORITY OF PUBLIC SERVANTS,Obstructing public servant in discharge of public functions.,"Whoever voluntarily obstructs any public servant in the discharge of his public functions, shall be punished with imprisonment of either description for a term which may extend to three months, or with fine which may extend to two thousand and five hundred rupees, or with both."
222,13,OF CONTEMPTS OF THE LAWFUL AUTHORITY OF PUBLIC SERVANTS,Omission to assist public servant when bound by law to give assistance.,"Whoever, being bound by law to render or furnish assistance to any public
servant in the execution of his public duty, intentionally omits to give such assistance,––
(a) shall be punished with simple imprisonment for a term which may extend
to one month, or with fine which may extend to two thousand and five hundred
rupees, or with both;
(b) and where such assistance be demanded of him by a public servant legally
competent to make such demand for the purposes of executing any process lawfully
issued by a Court or of preventing the commission of an offence, or suppressing a
riot, or affray, or of apprehending a person charged with or guilty of an offence, or
of having escaped from lawful custody, shall be punished with simple imprisonment
for a term which may extend to six months, or with fine which may extend to five
thousand rupees, or with both."
223,13,OF CONTEMPTS OF THE LAWFUL AUTHORITY OF PUBLIC SERVANTS,Disobedience to order duly promulgated by public servant.,"Whoever, knowing that, by an order promulgated by a public servant lawfully
empowered to promulgate such order, he is directed to abstain from a certain act, or to take
certain order with certain property in his possession or under his management, disobeys
such direction,––
(a) shall, if such disobedience causes or tends to cause obstruction, annoyance
or injury, or risk of obstruction, annoyance or injury, to any person lawfully employed,
be punished with simple imprisonment for a term which may extend to six months, or
with fine which may extend to two thousand and five hundred rupees, or with both;
(b) and where such disobedience causes or tends to cause danger to human
life, health or safety, or causes or tends to cause a riot or affray, shall be punished
with imprisonment of either description for a term which may extend to one year, or
with fine which may extend to five thousand rupees, or with both"
224,13,OF CONTEMPTS OF THE LAWFUL AUTHORITY OF PUBLIC SERVANTS,Threat of injury to public servant.,"Whoever holds out any threat of injury to any public servant, or to any person in whom he believes that public servant to be interested, for the purpose of inducing that public servant to do any act, or to forbear or delay to do any act, connected with the exercise of the public functions of such public servant, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both."
225,13,OF CONTEMPTS OF THE LAWFUL AUTHORITY OF PUBLIC SERVANTS,Threat of injury to induce person to refrain from applying for protection to public servant,"Whoever holds out any threat of injury to any person for the purpose of inducing that person to refrain or desist from making a legal application for protection against any injury to any public servant legally empowered as such to give such protection, or to cause such protection to be given, shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both."
226,13,OF CONTEMPTS OF THE LAWFUL AUTHORITY OF PUBLIC SERVANTS,Attempt to commit suicide to compel or restrain exercise of lawful power,"Whoever attempts to commit suicide with the intent to compel or restrain any public servant from discharging his official duty shall be punished with simple imprisonment for a term which may extend to one year, or with fine, or with both, or with community service."
227,14,OF FALSE EVIDENCE AND OFFENCES AGAINST PUBLIC JUSTICE,Giving false evidence.,"Whoever, being legally bound by an oath or by an express provision of law to state the truth, or being bound by law to make a declaration upon any subject, makes any statement which is false, and which he either knows or believes to be false or does not believe to be true, is said to give false evidence."
228,14,OF FALSE EVIDENCE AND OFFENCES AGAINST PUBLIC JUSTICE,Fabricating false evidence.,"Whoever causes any circumstance to exist or makes any false entry in any book or record, or electronic record or makes any document or electronic record containing a false statement, intending that such circumstance, false entry or false statement may appear in evidence in a judicial proceeding, or in a proceeding taken by law before a public servant as such, or before an arbitrator, and that such circumstance, false entry or false statement, so appearing in evidence, may cause any person who in such proceeding is to form an opinion upon the evidence, to entertain an erroneous opinion touching any point material to the result of such proceeding is said “to fabricate false evidence”."
229,14,OF FALSE EVIDENCE AND OFFENCES AGAINST PUBLIC JUSTICE,Punishment for false evidence.,"(1) Whoever intentionally gives false evidence in any stage of a judicial proceeding, or fabricates false evidence for the purpose of being used in any stage of a judicial proceeding, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine which may extend to ten thousand rupees. (2) Whoever intentionally gives or fabricates false evidence in any case other than that referred to in sub-section (1), shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine which may extend to five thousand rupees."
230,14,OF FALSE EVIDENCE AND OFFENCES AGAINST PUBLIC JUSTICE,Giving or fabricating false evidence with intent to procure conviction of capital offence.,"(1) Whoever gives or fabricates false evidence, intending thereby to cause, or
knowing it to be likely that he will thereby cause, any person to be convicted of an
offence which is capital by the law for the time being in force in India shall be punished
with imprisonment for life, or with rigorous imprisonment for a term which may extend to
ten years, and shall also be liable to fine which may extend to fifty thousand rupees.
(2) If an innocent person be convicted and executed in consequence of false evidence
referred to in sub-section (1), the person who gives such false evidence shall be punished
either with death or the punishment specified in sub-section (1)."
231,14,OF FALSE EVIDENCE AND OFFENCES AGAINST PUBLIC JUSTICE,Giving or fabricating false evidence with intent to procure conviction of offence punishable with imprisonment for life or imprisonment.,"Whoever gives or fabricates false evidence intending thereby to cause, or knowing it to be likely that he will thereby cause, any person to be convicted of an offence which by the law for the time being in force in India is not capital, but punishable with imprisonment for life, or imprisonment for a term of seven years or upwards, shall be punished as a person convicted of that offence would be liable to be punished."
232,14,OF FALSE EVIDENCE AND OFFENCES AGAINST PUBLIC JUSTICE,Threatening any person to give false evidence.,"(1) Whoever threatens another with any injury to his person, reputation or property or to the person or reputation of any one in whom that person is interested, with intent to cause that person to give false evidence shall be punished with imprisonment of either description for a term which may extend to seven years, or with fine, or with both. (2) If innocent person is convicted and sentenced in consequence of false evidence referred to in sub-section (1), with death or imprisonment for more than seven years, the person who threatens shall be punished with the same punishment and sentence in the same manner and to the same extent such innocent person is punished and sentenced."
233,14,OF FALSE EVIDENCE AND OFFENCES AGAINST PUBLIC JUSTICE,Using evidence known to be false.,"Whoever corruptly uses or attempts to use as true or genuine evidence any evidence which he knows to be false or fabricated, shall be punished in the same manner as if he gave or fabricated false evidence."
234,14,OF FALSE EVIDENCE AND OFFENCES AGAINST PUBLIC JUSTICE,Issuing or signing false certificate.,"Whoever issues or signs any certificate required by law to be given or signed, or relating to any fact of which such certificate is by law admissible in evidence, knowing or believing that such certificate is false in any material point, shall be punished in the same manner as if he gave false evidence."
235,14,OF FALSE EVIDENCE AND OFFENCES AGAINST PUBLIC JUSTICE,Using as true a certificate known to be false.,"Whoever corruptly uses or attempts to use any such certificate as a true certificate, knowing the same to be false in any material point, shall be punished in the same manner as if he gave false evidence."
236,14,OF FALSE EVIDENCE AND OFFENCES AGAINST PUBLIC JUSTICE,False statement made in declaration which is by law receivable as evidence.,"Whoever, in any declaration made or subscribed by him, which declaration any Court or any public servant or other person, is bound or authorised by law to receive as evidence of any fact, makes any statement which is false, and which he either knows or believes to be false or does not believe to be true, touching any point material to the object for which the declaration is made or used, shall be punished in the same manner as if he gave false evidence."
237,14,OF FALSE EVIDENCE AND OFFENCES AGAINST PUBLIC JUSTICE,Using as true such declaration knowing it to be false.,"Whoever corruptly uses or attempts to use as true any such declaration, knowing the same to be false in any material point, shall be punished in the same manner as if he gave false evidence."
238,14,OF FALSE EVIDENCE AND OFFENCES AGAINST PUBLIC JUSTICE,"Causing disappearance of evidence of offence, or giving false information to screen offender.","Whoever, knowing or having reason to believe that an offence has been
committed, causes any evidence of the commission of that offence to disappear, with the
intention of screening the offender from legal punishment, or with that intention gives any
information respecting the offence which he knows or believes to be false shall,—
(a) if the offence which he knows or believes to have been committed is
punishable with death, be punished with imprisonment of either description for a
term which may extend to seven years, and shall also be liable to fine;
(b) if the offence is punishable with imprisonment for life, or with imprisonment
which may extend to ten years, be punished with imprisonment of either description
for a term which may extend to three years, and shall also be liable to fine;
(c) if the offence is punishable with imprisonment for any term not extending
to ten years, be punished with imprisonment of the description provided for the
offence, for a term which may extend to one-fourth part of the longest term of the
imprisonment provided for the offence, or with fine, or with both."
239,14,OF FALSE EVIDENCE AND OFFENCES AGAINST PUBLIC JUSTICE,Intentional omission to give information of offence by person bound to inform.,"Whoever, knowing or having reason to believe that an offence has been committed, intentionally omits to give any information respecting that offence which he is legally bound to give, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to five thousand rupees, or with both."
